"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01001","5","10","71","0","2021","2","",887,8567,8610,8617,88169680,14475662,251754,789,"",0.96,0.91,0.91,0.91,0.91,1.02,1.01,1.00,"",53,6.4,1186,16.1,505,6.2,376,4.6,8734702,11.0,2348034,19.4,98728,64.5,16,2.1
"01003","0","10","70","0","2021","2","",7069,75815,77120,78845,823632648,133803343,2066856,820,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",481,7.3,10783,16.6,7330,10.5,4707,6.3,115920826,16.4,28697478,27.3,929840,81.8,38,4.9
"01003","1","10","71","0","2021","2","",34,395,370,380,6575963,0,0,1325,"",0.85,0.26,0.24,0.24,0.27,0.00,0.00,1.12,"",0,0.0,35,9.7,-17,-4.4,8,2.2,509971,8.4,0,0.0,0,0.0,74,5.9
"01003","2","10","71","0","2021","2","",35,1161,1136,1077,12373570,0,0,846,"",0.77,0.47,0.46,0.43,0.46,0.00,0.00,1.00,"",0,0.0,-42,-3.5,-43,-3.6,-151,-12.3,115619,0.9,0,0.0,0,0.0,62,7.9
"01003","3","10","71","0","2021","2","",90,8867,8887,9037,100657641,645348,7674,867,"",0.81,1.20,1.18,1.21,1.35,0.30,0.63,1.13,"",0,0.0,394,4.7,1093,14.0,1066,13.4,7420861,8.0,7403,1.2,3807,98.4,-21,-2.4
"01003","5","10","71","0","2021","2","",6910,65392,66727,68351,704025474,133157995,2059182,810,"",1.01,1.02,1.02,1.02,1.01,1.02,1.00,0.99,"",481,7.5,10396,18.9,6297,10.4,3784,5.9,107874375,18.1,28690075,27.5,926033,81.7,46,6.0
"01005","0","10","70","0","2021","2","",577,7551,7586,7654,74171365,10814429,180494,751,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,2.3,-209,-2.7,-267,-3.4,-282,-3.6,-16342,0.0,906713,9.2,62854,53.4,24,3.3
"01005","1","10","71","0","2021","2","",9,51,49,56,847879,0,0,1254,"",2.76,0.33,0.32,0.37,0.39,0.00,0.00,1.16,"",0,0.0,-6,-10.5,-8,-14.0,2,3.7,8091,1.0,0,0.0,0,0.0,100,8.7
"01005","2","10","71","0","2021","2","",18,596,583,589,6753850,0,0,882,"",4.83,2.42,2.39,2.43,2.76,0.00,0.00,1.14,"",0,0.0,-6,-1.0,-33,-5.4,-20,-3.3,-2521,0.0,0,0.0,0,0.0,29,3.4
"01005","3","10","71","0","2021","2","",31,940,947,948,8945755,139689,2604,728,"",3.41,1.28,1.28,1.30,1.34,0.79,2.45,1.04,"",0,0.0,-3,-0.3,22,2.4,3,0.3,250812,2.9,10477,8.1,1214,87.3,15,2.1
"01005","5","10","71","0","2021","2","",519,5964,6007,6061,57623881,10674740,177890,737,"",0.93,0.93,0.93,0.93,0.92,1.01,0.99,0.98,"",13,2.6,-194,-3.2,-248,-4.0,-267,-4.2,-272724,-0.5,896236,9.2,61640,53.0,24,3.4
"01007","0","10","70","0","2021","2","",379,4726,4741,4801,52941170,5722075,86580,856,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,3.3,412,9.6,286,6.4,276,6.1,4616223,9.6,789080,16.0,15805,22.3,17,2.0
"01007","1","10","71","0","2021","2","",10,66,67,71,1179525,0,0,1334,"",4.67,0.69,0.70,0.74,0.77,0.00,0.00,1.08,"",0,0.0,0,0.0,2,3.1,9,14.5,71406,6.4,0,0.0,0,0.0,9,0.7
"01007","2","10","71","0","2021","2","",13,239,238,226,2988788,0,0,981,"",5.31,1.55,1.56,1.49,1.71,0.00,0.00,1.12,"",0,0.0,-5,-2.0,-10,-4.0,-28,-11.0,-92282,-3.0,0,0.0,0,0.0,28,2.9
"01007","3","10","71","0","2021","2","",31,967,970,994,8662853,80820,929,682,"",5.19,2.10,2.10,2.18,1.81,0.87,1.82,0.85,"",0,0.0,-10,-1.0,90,10.2,90,10.0,128360,1.5,10398,14.8,514,123.9,-31,-4.3
"01007","5","10","71","0","2021","2","",325,3454,3466,3510,40110004,5641255,85651,887,"",0.88,0.86,0.86,0.86,0.89,1.01,1.00,1.04,"",12,3.8,427,14.1,204,6.3,205,6.2,4508739,12.7,778682,16.0,15291,21.7,31,3.6
"01009","0","10","70","0","2021","2","",852,8442,8512,8582,82619289,10907451,168316,747,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",56,7.0,295,3.6,380,4.7,276,3.3,6821826,9.0,761188,7.5,64797,62.6,36,5.1
"01009","1","10","71","0","2021","2","",10,80,80,80,1269652,0,0,1221,"",2.08,0.47,0.47,0.47,0.53,0.00,0.00,1.13,"",0,0.0,-6,-7.0,-6,-7.0,0,0.0,15929,1.3,0,0.0,0,0.0,73,6.4
"01009","2","10","71","0","2021","2","",11,152,156,159,1589115,0,0,785,"",2.00,0.55,0.57,0.59,0.58,0.00,0.00,1.02,"",0,0.0,-7,-4.4,-1,-0.6,1,0.6,67949,4.5,0,0.0,0,0.0,44,5.9
"01009","3","10","71","0","2021","2","",44,1801,1798,1791,17152841,142330,1746,734,"",3.28,2.19,2.17,2.20,2.30,0.80,1.76,1.05,"",0,0.0,-11,-0.6,135,8.1,126,7.6,914405,5.6,64248,82.3,1107,173.2,5,0.7
"01009","5","10","71","0","2021","2","",787,6409,6478,6552,62607681,10765121,166570,743,"",0.95,0.89,0.90,0.89,0.89,1.01,1.00,1.00,"",56,7.7,319,5.2,252,4.0,149,2.3,5823543,10.3,696940,6.9,63690,61.9,43,6.1
"01011","0","10","70","0","2021","2","",191,2788,2803,2864,29739458,3877792,103515,812,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,3.2,-49,-1.7,-37,-1.3,19,0.7,-146309,-0.5,-340689,-8.1,33874,48.6,3,0.4
"01011","1","10","71","0","2021","2","",6,30,30,29,467767,0,0,1213,"",5.56,0.53,0.53,0.51,0.54,0.00,0.00,1.03,"",0,0.0,-5,-14.3,-4,-11.8,-3,-9.4,-16803,-3.5,0,0.0,0,0.0,106,9.6
"01011","2","10","71","0","2021","2","",10,235,233,237,3093064,0,0,1012,"",8.11,2.58,2.58,2.62,3.15,0.00,0.00,1.21,"",0,0.0,-1,-0.4,-6,-2.5,-4,-1.7,-20174,-0.6,0,0.0,0,0.0,9,0.9
"01011","3","10","71","0","2021","2","",15,304,306,315,3060131,949,14,763,"",4.98,1.12,1.12,1.16,1.14,0.02,0.02,1.01,"",1,7.1,-14,-4.4,-8,-2.5,1,0.3,136027,4.7,949,100.0,14,100.0,50,7.0
"01011","5","10","71","0","2021","2","",160,2219,2234,2283,23118496,3876843,103501,792,"",0.86,0.94,0.94,0.93,0.92,1.02,1.01,0.98,"",5,3.2,-29,-1.3,-19,-0.8,25,1.1,-245359,-1.1,-341638,-8.1,33860,48.6,-6,-0.8
"01013","0","10","70","0","2021","2","",500,6354,6350,6427,62472746,9239152,167933,754,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,3.5,799,14.4,464,7.9,153,2.4,7727186,14.1,1649858,21.7,78476,87.7,41,5.8
"01013","1","10","71","0","2021","2","",6,35,37,38,518780,0,0,1088,"",2.12,0.27,0.29,0.30,0.29,0.00,0.00,1.00,"",0,0.0,-10,-22.2,-8,-17.8,-5,-11.6,-57235,-9.9,0,0.0,0,0.0,89,8.9
"01013","2","10","71","0","2021","2","",12,95,94,92,1171075,0,0,962,"",3.72,0.46,0.46,0.45,0.57,0.00,0.00,1.24,"",0,0.0,0,0.0,0,0.0,-1,-1.1,24730,2.2,0,0.0,0,0.0,24,2.6
"01013","3","10","71","0","2021","2","",23,715,727,724,7141773,42463,488,761,"",2.92,1.15,1.18,1.18,1.27,0.28,0.49,1.08,"",0,0.0,-16,-2.2,9,1.3,6,0.8,233525,3.4,7887,22.8,284,139.2,25,3.4
"01013","5","10","71","0","2021","2","",459,5509,5492,5573,53641118,9196689,167445,747,"",0.94,1.02,1.02,1.02,1.01,1.02,1.00,0.99,"",17,3.8,825,17.6,463,9.2,153,2.8,7526166,16.3,1641971,21.7,78192,87.6,44,6.3
"01015","0","10","70","0","2021","2","",2619,43282,43266,43467,471439559,52999956,811176,837,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",82,3.2,4312,11.1,2858,7.1,1546,3.7,45989129,10.8,10166320,23.7,393106,94.0,28,3.5
"01015","1","10","71","0","2021","2","",47,4121,4114,4099,60661738,0,0,1135,"",3.17,4.69,4.73,4.71,4.42,0.00,0.00,0.94,"",0,0.0,-51,-1.2,-67,-1.6,-79,-1.9,-3704688,-5.8,0,0.0,0,0.0,-50,-4.2
"01015","2","10","71","0","2021","2","",26,1712,1711,1675,23033362,0,0,1043,"",1.54,1.21,1.23,1.22,1.48,0.00,0.00,1.21,"",0,0.0,27,1.6,30,1.8,2,0.1,352689,1.6,0,0.0,0,0.0,4,0.4
"01015","3","10","71","0","2021","2","",74,6119,6179,6239,66868486,169703,3007,832,"",1.79,1.45,1.47,1.51,1.57,0.20,0.63,1.06,"",2,2.8,220,3.7,368,6.3,197,3.3,5486859,8.9,47651,39.0,2085,226.1,34,4.3
"01015","5","10","71","0","2021","2","",2472,31330,31262,31454,320875973,52830253,808169,787,"",0.97,0.85,0.85,0.85,0.80,1.02,1.00,0.94,"",80,3.3,4116,15.1,2527,8.8,1426,4.7,43854269,15.8,10118669,23.7,391021,93.7,43,5.8
"01017","0","10","70","0","2021","2","",668,8272,8263,8257,83182521,10462557,164669,774,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",42,6.7,657,8.6,524,6.8,175,2.2,7447355,9.8,1430919,15.8,72220,78.1,28,3.8
"01017","1","10","71","0","2021","2","",6,50,49,50,773207,0,0,1198,"",1.59,0.30,0.29,0.30,0.32,0.00,0.00,1.07,"",0,0.0,-7,-12.3,-6,-10.9,-3,-5.7,14883,2.0,0,0.0,0,0.0,137,12.9
"01017","2","10","71","0","2021","2","",13,139,129,135,1396990,0,0,800,"",3.01,0.52,0.49,0.52,0.51,0.00,0.00,1.01,"",0,0.0,-7,-4.8,-7,-5.1,1,0.7,-5933,-0.4,0,0.0,0,0.0,22,2.8
"01017","3","10","71","0","2021","2","",57,1511,1503,1493,16480468,60988,904,844,"",5.41,1.87,1.87,1.90,2.20,0.36,0.93,1.17,"",-1,-1.7,-46,-3.0,-42,-2.7,-55,-3.6,-746024,-4.3,-16129,-20.9,249,38.0,-11,-1.3
"01017","5","10","71","0","2021","2","",592,6572,6582,6579,64531856,10401569,163765,755,"",0.91,0.94,0.94,0.93,0.92,1.02,1.00,0.98,"",43,7.8,717,12.2,579,9.6,232,3.7,8184429,14.5,1447048,16.2,71971,78.4,41,5.7
"01019","0","10","70","0","2021","2","",431,5220,5302,5325,49748764,8098607,135278,724,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",13,3.1,894,20.7,630,13.5,463,9.5,7975819,19.1,1401037,20.9,59459,78.4,28,4.0
"01019","1","10","71","0","2021","2","",10,47,44,44,660701,0,0,1129,"",4.10,0.44,0.41,0.41,0.46,0.00,0.00,1.08,"",1,11.1,-9,-16.1,-11,-20.0,-5,-10.2,40500,6.5,0,0.0,0,0.0,234,26.1
"01019","2","10","71","0","2021","2","",11,85,85,84,948875,0,0,862,"",3.95,0.50,0.50,0.50,0.58,0.00,0.00,1.16,"",0,0.0,1,1.2,3,3.7,-1,-1.2,-25319,-2.6,0,0.0,0,0.0,-34,-3.8
"01019","3","10","71","0","2021","2","",24,1127,1145,1143,11121237,43440,549,752,"",3.53,2.21,2.22,2.26,2.48,0.33,0.69,1.11,"",0,0.0,-15,-1.3,72,6.7,80,7.5,362115,3.4,4984,13.0,63,13.0,-5,-0.7
"01019","5","10","71","0","2021","2","",386,3961,4028,4054,37017951,8055167,134729,709,"",0.92,0.89,0.89,0.89,0.88,1.02,1.00,0.98,"",12,3.2,917,30.1,566,16.3,389,10.6,7598523,25.8,1396053,21.0,59396,78.8,42,6.3
"01021","0","10","70","0","2021","2","",834,9096,9070,9117,92094714,11461574,173544,779,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",8,1.0,954,11.7,920,11.3,85,0.9,10992372,13.6,1360527,13.5,73513,73.5,40,5.4
"01021","1","10","71","0","2021","2","",7,67,65,68,887735,0,0,1024,"",1.48,0.36,0.36,0.37,0.33,0.00,0.00,0.91,"",0,0.0,0,0.0,2,3.2,8,13.3,66470,8.1,0,0.0,0,0.0,27,2.7
"01021","2","10","71","0","2021","2","",14,246,248,253,2940373,0,0,908,"",2.60,0.83,0.85,0.88,0.97,0.00,0.00,1.14,"",0,0.0,-3,-1.2,-1,-0.4,6,2.4,-8169,-0.3,0,0.0,0,0.0,-5,-0.5
"01021","3","10","71","0","2021","2","",37,1542,1552,1562,14424494,318097,3768,715,"",2.82,1.74,1.76,1.80,1.74,1.71,3.69,0.98,"",2,5.7,1,0.1,154,11.0,159,11.3,587054,4.2,124615,64.4,2575,215.8,-20,-2.7
"01021","5","10","71","0","2021","2","",776,7241,7205,7234,73842112,11143477,169776,786,"",0.96,0.94,0.93,0.93,0.95,1.00,0.99,1.01,"",6,0.8,956,15.2,765,11.9,-88,-1.2,10347017,16.3,1235912,12.5,70938,71.8,55,7.5
"01023","0","10","70","0","2021","2","",343,3589,3569,3629,47443612,4374806,87454,1015,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,6.2,233,6.9,136,4.0,203,5.9,5236112,12.4,921403,26.7,47205,117.3,61,6.4
"01023","1","10","71","0","2021","2","",8,25,27,28,340651,0,0,983,"",4.12,0.34,0.38,0.39,0.25,0.00,0.00,0.67,"",0,0.0,-8,-24.2,-3,-10.0,2,7.7,6244,1.9,0,0.0,0,0.0,116,13.4
"01023","2","10","71","0","2021","2","",11,64,64,69,569456,0,0,667,"",4.97,0.55,0.56,0.60,0.36,0.00,0.00,0.64,"",0,0.0,-3,-4.5,-5,-7.2,0,0.0,53642,10.4,0,0.0,0,0.0,86,14.8
"01023","3","10","71","0","2021","2","",23,351,349,353,3183699,36518,740,698,"",4.26,1.00,1.00,1.02,0.74,0.51,1.44,0.74,"",0,0.0,-16,-4.4,17,5.1,23,7.0,75311,2.4,4110,12.7,289,64.1,1,0.1
"01023","5","10","71","0","2021","2","",301,3149,3129,3179,43349806,4338288,86714,1058,"",0.90,1.03,1.03,1.03,1.08,1.02,1.00,1.05,"",20,7.1,260,9.0,127,4.2,178,5.9,5100915,13.3,917293,26.8,46916,117.9,65,6.5
"01025","0","10","70","0","2021","2","",692,7933,7985,8042,89623477,10350128,167367,863,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",21,3.1,328,4.3,271,3.5,283,3.6,8756393,10.8,943721,10.0,60669,56.9,54,6.7
"01025","1","10","71","0","2021","2","",13,67,69,67,1059783,0,0,1205,"",3.32,0.42,0.43,0.42,0.41,0.00,0.00,0.97,"",0,0.0,-7,-9.5,-1,-1.4,0,0.0,10585,1.0,0,0.0,0,0.0,57,5.0
"01025","2","10","71","0","2021","2","",16,308,309,307,3948801,0,0,986,"",3.58,1.19,1.20,1.21,1.34,0.00,0.00,1.11,"",0,0.0,-26,-7.8,-30,-8.8,-36,-10.5,-16680,-0.4,0,0.0,0,0.0,85,9.4
"01025","3","10","71","0","2021","2","",37,1265,1293,1322,12312674,255727,2980,732,"",3.39,1.63,1.66,1.73,1.52,1.52,3.02,0.91,"",1,2.8,15,1.2,115,9.8,123,10.3,874620,7.6,-144583,-36.1,458,18.2,4,0.5
"01025","5","10","71","0","2021","2","",626,6293,6314,6346,72302219,10094401,164387,880,"",0.93,0.93,0.93,0.92,0.95,1.00,0.99,1.02,"",20,3.3,346,5.8,187,3.1,196,3.2,7887868,12.2,1088304,12.1,60211,57.8,64,7.8
"01027","0","10","70","0","2021","2","",235,4274,4200,4249,42285596,4995970,84753,767,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",17,7.8,154,3.7,79,1.9,113,2.7,4536946,12.0,3690,0.1,29474,53.3,63,8.9
"01027","1","10","71","0","2021","2","",6,40,39,42,684239,0,0,1305,"",4.52,0.46,0.46,0.49,0.56,0.00,0.00,1.18,"",0,0.0,-7,-14.9,-11,-22.0,-8,-16.0,-64933,-8.7,0,0.0,0,0.0,129,11.0
"01027","2","10","71","0","2021","2","",10,56,56,56,546665,0,0,751,"",6.59,0.40,0.41,0.42,0.39,0.00,0.00,0.95,"",0,0.0,-1,-1.8,-1,-1.8,-1,-1.8,27462,5.3,0,0.0,0,0.0,50,7.1
"01027","3","10","71","0","2021","2","",17,803,805,805,8080755,68961,941,773,"",4.59,1.92,1.97,1.99,2.12,0.85,1.89,1.08,"",0,0.0,34,4.4,58,7.8,42,5.5,1157694,16.7,-5665,-7.6,109,13.1,72,10.3
"01027","5","10","71","0","2021","2","",202,3375,3300,3346,32973937,4927009,83812,759,"",0.88,0.93,0.92,0.92,0.92,1.01,1.00,0.99,"",17,9.2,128,3.9,33,1.0,80,2.4,3416723,11.6,9355,0.2,29365,53.9,62,8.9
"01029","0","10","70","0","2021","2","",250,2141,2122,2148,26604008,2958377,61387,958,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,8.7,75,3.6,19,0.9,33,1.6,2165384,8.9,547438,22.7,26121,74.1,61,6.8
"01029","1","10","71","0","2021","2","",8,49,50,51,764740,0,0,1177,"",5.66,1.13,1.17,1.18,0.99,0.00,0.00,0.85,"",1,14.3,0,0.0,1,2.0,3,6.2,33312,4.6,0,0.0,0,0.0,21,1.8
"01029","2","10","71","0","2021","2","",11,100,106,108,870510,0,0,640,"",6.81,1.43,1.55,1.59,0.99,0.00,0.00,0.65,"",1,10.0,-12,-10.7,-6,-5.4,-3,-2.7,29095,3.5,0,0.0,0,0.0,60,10.3
"01029","3","10","71","0","2021","2","",31,595,592,602,5969748,182441,2098,770,"",7.87,2.85,2.86,2.95,2.49,3.79,5.80,0.86,"",0,0.0,2,0.3,3,0.5,8,1.3,31127,0.5,-74568,-29.0,581,38.3,-2,-0.3
"01029","5","10","71","0","2021","2","",200,1397,1374,1387,18999010,2775936,59289,1054,"",0.82,0.77,0.76,0.76,0.84,0.96,0.97,1.10,"",18,9.9,85,6.5,21,1.6,25,1.8,2071850,12.2,622006,28.9,25540,75.7,84,8.7
"01031","0","10","70","0","2021","2","",1135,16165,16224,16141,161053672,25357707,397069,766,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",77,7.3,1440,9.8,1092,7.2,624,4.0,19433379,13.7,3795065,17.6,191350,93.0,46,6.4
"01031","1","10","71","0","2021","2","",16,272,280,282,4713870,0,0,1304,"",2.49,0.83,0.86,0.87,1.01,0.00,0.00,1.18,"",0,0.0,-7,-2.5,4,1.4,3,1.1,99365,2.2,0,0.0,0,0.0,27,2.1
"01031","2","10","71","0","2021","2","",21,441,431,423,4869293,0,0,868,"",2.87,0.84,0.83,0.83,0.92,0.00,0.00,1.10,"",0,0.0,-8,-1.8,-12,-2.7,7,1.7,59551,1.2,0,0.0,0,0.0,19,2.2
"01031","3","10","71","0","2021","2","",42,1934,1963,1981,20005123,215796,2481,785,"",2.35,1.23,1.24,1.29,1.38,0.52,1.06,1.10,"",-1,-2.3,78,4.2,152,8.4,144,7.8,1170383,6.2,41441,23.8,1058,74.3,-5,-0.6
"01031","5","10","71","0","2021","2","",1056,13518,13550,13455,131465386,25141911,394588,749,"",0.96,0.98,0.98,0.98,0.96,1.01,1.00,0.98,"",78,8.0,1377,11.3,948,7.5,470,3.6,18104080,16.0,3753624,17.5,190292,93.1,56,8.1
"01033","0","10","70","0","2021","2","",1409,23160,23273,23226,286354591,30461400,539065,949,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",49,3.6,1840,8.6,1354,6.2,487,2.1,30487182,11.9,4482875,17.3,184197,51.9,54,6.0
"01033","1","10","71","0","2021","2","",15,623,630,624,16773926,0,0,2062,"",1.88,1.32,1.35,1.34,2.01,0.00,0.00,1.50,"",0,0.0,23,3.8,38,6.4,30,5.1,2458059,17.2,0,0.0,0,0.0,212,11.5
"01033","2","10","71","0","2021","2","",18,646,681,625,6854918,0,0,810,"",1.98,0.86,0.91,0.85,0.73,0.00,0.00,0.83,"",0,0.0,-15,-2.3,48,7.6,23,3.8,191654,2.9,0,0.0,0,0.0,-1,-0.1
"01033","3","10","71","0","2021","2","",49,3298,3321,3377,37903372,208106,2394,875,"",2.21,1.46,1.47,1.53,1.47,0.42,0.75,0.99,"",0,0.0,210,6.8,278,9.1,338,11.1,4221280,12.5,-11887,-5.4,1094,84.2,27,3.2
"01033","5","10","71","0","2021","2","",1327,18593,18641,18600,224822375,30253294,536671,929,"",0.97,0.95,0.94,0.94,0.93,1.02,1.00,0.98,"",49,3.8,1622,9.6,990,5.6,96,0.5,23616189,11.7,4494762,17.4,183103,51.8,55,6.3
"01035","0","10","70","0","2021","2","",259,3254,3260,3222,32695252,4114316,67128,775,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",7,2.8,241,8.0,-52,-1.6,-83,-2.5,2684429,8.9,1374,0.0,15893,31.0,56,7.8
"01035","1","10","71","0","2021","2","",5,26,23,22,330516,0,0,1074,"",3.41,0.39,0.35,0.34,0.35,0.00,0.00,0.96,"",0,0.0,-10,-27.8,-8,-25.8,-6,-21.4,-24939,-7.0,0,0.0,0,0.0,211,24.4
"01035","2","10","71","0","2021","2","",12,175,172,172,2133937,0,0,949,"",7.17,1.65,1.64,1.69,1.98,0.00,0.00,1.19,"",0,0.0,-11,-5.9,-8,-4.4,1,0.6,29723,1.4,0,0.0,0,0.0,45,5.0
"01035","3","10","71","0","2021","2","",20,488,499,514,4622975,27904,321,711,"",4.90,1.54,1.57,1.68,1.57,0.42,0.81,0.98,"",0,0.0,9,1.9,16,3.3,43,9.1,373199,8.8,8029,40.4,203,172.0,27,3.9
"01035","5","10","71","0","2021","2","",222,2565,2566,2514,25607824,4086412,66807,773,"",0.88,0.93,0.93,0.91,0.92,1.02,1.00,1.00,"",7,3.3,253,10.9,-52,-2.0,-121,-4.6,2306446,9.9,-6655,-0.2,15690,30.7,62,8.7
"01037","0","10","70","0","2021","2","",147,1296,1325,1341,13030752,1602644,27406,759,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,8.9,54,4.3,46,3.6,54,4.2,1046230,8.7,141228,9.7,12272,81.1,33,4.5
"01037","1","10","71","0","2021","2","",6,16,16,17,213699,0,0,1006,"",7.22,0.61,0.60,0.63,0.56,0.00,0.00,0.92,"",0,0.0,-3,-15.8,-4,-20.0,-1,-5.6,-19294,-8.3,0,0.0,0,0.0,63,6.7
"01037","2","10","71","0","2021","2","",10,44,45,45,362337,0,0,624,"",10.53,1.04,1.06,1.06,0.84,0.00,0.00,0.80,"",0,0.0,-3,-6.4,-2,-4.3,-2,-4.3,-7,0.0,0,0.0,0,0.0,31,5.2
"01037","3","10","71","0","2021","2","",13,274,274,276,2120574,9113,105,594,"",5.61,2.17,2.12,2.17,1.80,0.35,0.65,0.84,"",0,0.0,33,13.7,46,20.2,31,12.7,98348,4.9,-8072,-47.0,3,2.9,-60,-9.2
